"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
91017.21;83893;71101.34;42393.78;40309;68925.52;112.8752;-50.74939;214.7847;167.0878;2193.987;328.3763;2582.782;48.18688;3223.868;3.222604;225.2018;4350.768;-29.65091;195.2
115986.2;100655;75518.11;66751.62;60587;72204.16;162.1884;2299.473;1006.937;48.55854;1447.133;1417.02;177.9351;2.540463;3211.643;-39.72451;-51.03337;80.49184;775.2572;195.3
146297.3;125194;76583.04;71745.96;66426;70784.69;1466.604;-74.03003;1477.932;87.70576;131.9341;1248.479;239.5007;143.6037;6678.507;18.18845;-51.64936;-39.52005;32.74875;195.3
97491.48;83786;76256.19;65998.91;60458;71542.31;69.7485;-99.43276;1009.103;35.88087;4665.318;55.89566;2430.173;5959.093;7829.158;-29.41465;163.8908;-34.05587;70.47375;196.1
160353.2;141510;74262.66;56844.84;49205;75711.49;-118.2309;9338.945;484.5203;172.5444;22.59222;164.7008;118.2732;92.7001;4332.744;446.1563;-41.26686;5046.767;1782.93;196.4
103014.2;89533;75403.95;83118.36;79630;68406.95;1729.529;19.40623;767.1462;107.869;707.056;497.933;1466.289;150.3931;3037.796;52.77065;261.574;83.19353;-11.00086;198.4
158533;136127;76323;60454.68;55771;71039.76;179.3983;8905.175;2751.983;-31.00842;141.5928;565.8747;127.2511;360.9398;2310.884;41.16636;5.91873;343.2761;103.5918;201.9
126370.7;112555;73580.32;48499.62;45963;69152.81;577.6764;2683.38;1157.604;25.40876;3468.919;179.1915;77.83012;7485.117;2986.386;-8.181335;60.27059;48.30548;59.98907;201.9
121626.3;109755;72624.49;50011.26;46651;70256.54;-13.88807;14.94238;1011.531;113.5161;2270.031;434.8182;2101.6;2899.112;3748.995;13.16065;59.70014;-58.48984;30.28577;203.6
138500.3;118592;76537.65;57186.48;52983;70735.39;764.8438;4457.005;1179.918;-11.28688;471.4012;458.7224;129.5042;68.20364;4893.474;-77.86315;136.9081;147.1767;-55.11508;204.7
159378.3;137934;75724.73;84795.36;76750;72405.85;1119.242;208.7114;770.2111;-33.5725;133.9284;1918.021;0.4570557;2091.046;5928.593;17.91971;11.41677;252.9852;-59.40136;205.1
148824;132630;73537.9;43397.64;41186;69055.2;4655.753;-127.2462;151.8084;90.70971;92.48424;275.93;1711.313;24.8822;6901.211;-29.23373;206.0758;821.5845;74.26993;207.2
85741.47;70198;80047.2;36431.46;34386;69434.43;568.6317;2715.478;882.1205;2.104814;859.6075;417.0258;-121.1229;303.5986;2630.37;8.155025;11.12686;-9.133832;136.1547;212
116762.5;96768;79077.25;104553.5;95888;71458.59;434.8579;9715.45;113.9395;25.23463;181.2937;587.2061;142.6358;3273.74;5146.449;-17.96586;130.3407;133.3258;25.59198;212.8
75034.05;65221;75396.44;55550.04;51990;70023.61;3953.316;-4.530291;1757.054;24.76522;243.766;274.5094;2413.468;77.21536;4519.161;7.423081;152.2418;59.5591;-46.81442;216.1
181700.5;159171;74812.13;67258.62;61795;71330.38;183.3539;10261.19;1465.461;-36.5679;139.5107;241.6182;232.9291;1350.518;5693.577;-35.53404;145.0911;296.7959;110.0909;216.4
142719.6;121120;77223.18;84279;77264;71486.19;1949.176;-85.26488;886.1313;5.359699;73.84727;589.3211;3056.964;-166.6956;7557.533;192.8186;79.99748;9.148463;74.91624;216.8
